Time Period,cap_wind,cap_solar,cap_battery_1,cap_battery_2,cap_electrolyzer_1,cap_electrolyzer_2,cap_electrolyzer_3,cap_h2_storage,cap_fuelcell_1,cap_fuelcell_2,chg_pwr_battery_1_0,prod_wind_0,prod_solar_0,elec_input_elec_1_0,elec_input_elec_2_0,elec_input_elec_3_0,h2_prod_elec_1_0,h2_prod_elec_2_0,h2_prod_elec_3_0,elec_prod_fuelcell_1_0,elec_prod_fuelcell_2_0,dir_h2_demand_0,chg_h2_storage_hourly_0,dchg_h2_storage_hourly_0,import_elec_0,unmet_elec_0,total_h2_fuel_1_0,total_h2_fuel_2_0,chg_pwr_battery_1_1,prod_wind_1,prod_solar_1,elec_input_elec_1_1,elec_input_elec_2_1,elec_input_elec_3_1,h2_prod_elec_1_1,h2_prod_elec_2_1,h2_prod_elec_3_1,elec_prod_fuelcell_1_1,elec_prod_fuelcell_2_1,dir_h2_demand_1,chg_h2_storage_hourly_1,dchg_h2_storage_hourly_1,import_elec_1,unmet_elec_1,total_h2_fuel_1_1,total_h2_fuel_2_1,chg_pwr_battery_1_2,prod_wind_2,prod_solar_2,elec_input_elec_1_2,elec_input_elec_2_2,elec_input_elec_3_2,h2_prod_elec_1_2,h2_prod_elec_2_2,h2_prod_elec_3_2,elec_prod_fuelcell_1_2,elec_prod_fuelcell_2_2,dir_h2_demand_2,chg_h2_storage_hourly_2,dchg_h2_storage_hourly_2,import_elec_2,unmet_elec_2,total_h2_fuel_1_2,total_h2_fuel_2_2,chg_pwr_battery_1_3,prod_wind_3,prod_solar_3,elec_input_elec_1_3,elec_input_elec_2_3,elec_input_elec_3_3,h2_prod_elec_1_3,h2_prod_elec_2_3,h2_prod_elec_3_3,elec_prod_fuelcell_1_3,elec_prod_fuelcell_2_3,dir_h2_demand_3,chg_h2_storage_hourly_3,dchg_h2_storage_hourly_3,import_elec_3,unmet_elec_3,total_h2_fuel_1_3,total_h2_fuel_2_3,chg_pwr_battery_1_4,prod_wind_4,prod_solar_4,elec_input_elec_1_4,elec_input_elec_2_4,elec_input_elec_3_4,h2_prod_elec_1_4,h2_prod_elec_2_4,h2_prod_elec_3_4,elec_prod_fuelcell_1_4,elec_prod_fuelcell_2_4,dir_h2_demand_4,chg_h2_storage_hourly_4,dchg_h2_storage_hourly_4,import_elec_4,unmet_elec_4,total_h2_fuel_1_4,total_h2_fuel_2_4,chg_pwr_battery_1_5,prod_wind_5,prod_solar_5,elec_input_elec_1_5,elec_input_elec_2_5,elec_input_elec_3_5,h2_prod_elec_1_5,h2_prod_elec_2_5,h2_prod_elec_3_5,elec_prod_fuelcell_1_5,elec_prod_fuelcell_2_5,dir_h2_demand_5,chg_h2_storage_hourly_5,dchg_h2_storage_hourly_5,import_elec_5,unmet_elec_5,total_h2_fuel_1_5,total_h2_fuel_2_5,chg_pwr_battery_1_6,prod_wind_6,prod_solar_6,elec_input_elec_1_6,elec_input_elec_2_6,elec_input_elec_3_6,h2_prod_elec_1_6,h2_prod_elec_2_6,h2_prod_elec_3_6,elec_prod_fuelcell_1_6,elec_prod_fuelcell_2_6,dir_h2_demand_6,chg_h2_storage_hourly_6,dchg_h2_storage_hourly_6,import_elec_6,unmet_elec_6,total_h2_fuel_1_6,total_h2_fuel_2_6,chg_pwr_battery_1_7,prod_wind_7,prod_solar_7,elec_input_elec_1_7,elec_input_elec_2_7,elec_input_elec_3_7,h2_prod_elec_1_7,h2_prod_elec_2_7,h2_prod_elec_3_7,elec_prod_fuelcell_1_7,elec_prod_fuelcell_2_7,dir_h2_demand_7,chg_h2_storage_hourly_7,dchg_h2_storage_hourly_7,import_elec_7,unmet_elec_7,total_h2_fuel_1_7,total_h2_fuel_2_7,chg_pwr_battery_1_8,prod_wind_8,prod_solar_8,elec_input_elec_1_8,elec_input_elec_2_8,elec_input_elec_3_8,h2_prod_elec_1_8,h2_prod_elec_2_8,h2_prod_elec_3_8,elec_prod_fuelcell_1_8,elec_prod_fuelcell_2_8,dir_h2_demand_8,chg_h2_storage_hourly_8,dchg_h2_storage_hourly_8,import_elec_8,unmet_elec_8,total_h2_fuel_1_8,total_h2_fuel_2_8,chg_pwr_battery_1_9,prod_wind_9,prod_solar_9,elec_input_elec_1_9,elec_input_elec_2_9,elec_input_elec_3_9,h2_prod_elec_1_9,h2_prod_elec_2_9,h2_prod_elec_3_9,elec_prod_fuelcell_1_9,elec_prod_fuelcell_2_9,dir_h2_demand_9,chg_h2_storage_hourly_9,dchg_h2_storage_hourly_9,import_elec_9,unmet_elec_9,total_h2_fuel_1_9,total_h2_fuel_2_9
0,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
1,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
2,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
3,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
4,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
5,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
6,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
7,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
8,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
9,0.0,0.0,0.0,955.9707133333313,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,14.952978421061026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5828.26708863333,0.0,0.0,0.0,0.0,0.0,0.0,11656.53417726666,0.0,477.98535666666567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5942.379564333334,0.0,0.0,0.0,0.0,0.0,0.0,11884.759128666668,0.0
