Time Period,cap_wind,cap_solar,cap_battery_1,cap_battery_2,cap_electrolyzer_1,cap_electrolyzer_2,cap_electrolyzer_3,cap_h2_storage,cap_fuelcell_1,cap_fuelcell_2,chg_pwr_battery_0,prod_wind_0,prod_solar_0,elec_input_elec_0,h2_prod_elec_1_0,h2_prod_elec_2_0,h2_prod_elec_3_0,soe_battery_1_0,soe_battery_2_0,elec_prod_fuelcell_1_0,elec_prod_fuelcell_2_0,soe_h2_storage_0,dir_h2_demand_0,chg_h2_storage_hourly_0,dchg_h2_storage_hourly_0,import_elec_0,unmet_elec_0,chg_pwr_battery_1,prod_wind_1,prod_solar_1,elec_input_elec_1,h2_prod_elec_1_1,h2_prod_elec_2_1,h2_prod_elec_3_1,soe_battery_1_1,soe_battery_2_1,elec_prod_fuelcell_1_1,elec_prod_fuelcell_2_1,soe_h2_storage_1,dir_h2_demand_1,chg_h2_storage_hourly_1,dchg_h2_storage_hourly_1,import_elec_1,unmet_elec_1,chg_pwr_battery_2,prod_wind_2,prod_solar_2,elec_input_elec_2,h2_prod_elec_1_2,h2_prod_elec_2_2,h2_prod_elec_3_2,soe_battery_1_2,soe_battery_2_2,elec_prod_fuelcell_1_2,elec_prod_fuelcell_2_2,soe_h2_storage_2,dir_h2_demand_2,chg_h2_storage_hourly_2,dchg_h2_storage_hourly_2,import_elec_2,unmet_elec_2,chg_pwr_battery_3,prod_wind_3,prod_solar_3,elec_input_elec_3,h2_prod_elec_1_3,h2_prod_elec_2_3,h2_prod_elec_3_3,soe_battery_1_3,soe_battery_2_3,elec_prod_fuelcell_1_3,elec_prod_fuelcell_2_3,soe_h2_storage_3,dir_h2_demand_3,chg_h2_storage_hourly_3,dchg_h2_storage_hourly_3,import_elec_3,unmet_elec_3,chg_pwr_battery_4,prod_wind_4,prod_solar_4,elec_input_elec_4,h2_prod_elec_1_4,h2_prod_elec_2_4,h2_prod_elec_3_4,soe_battery_1_4,soe_battery_2_4,elec_prod_fuelcell_1_4,elec_prod_fuelcell_2_4,soe_h2_storage_4,dir_h2_demand_4,chg_h2_storage_hourly_4,dchg_h2_storage_hourly_4,import_elec_4,unmet_elec_4,chg_pwr_battery_5,prod_wind_5,prod_solar_5,elec_input_elec_5,h2_prod_elec_1_5,h2_prod_elec_2_5,h2_prod_elec_3_5,soe_battery_1_5,soe_battery_2_5,elec_prod_fuelcell_1_5,elec_prod_fuelcell_2_5,soe_h2_storage_5,dir_h2_demand_5,chg_h2_storage_hourly_5,dchg_h2_storage_hourly_5,import_elec_5,unmet_elec_5,chg_pwr_battery_6,prod_wind_6,prod_solar_6,elec_input_elec_6,h2_prod_elec_1_6,h2_prod_elec_2_6,h2_prod_elec_3_6,soe_battery_1_6,soe_battery_2_6,elec_prod_fuelcell_1_6,elec_prod_fuelcell_2_6,soe_h2_storage_6,dir_h2_demand_6,chg_h2_storage_hourly_6,dchg_h2_storage_hourly_6,import_elec_6,unmet_elec_6,chg_pwr_battery_7,prod_wind_7,prod_solar_7,elec_input_elec_7,h2_prod_elec_1_7,h2_prod_elec_2_7,h2_prod_elec_3_7,soe_battery_1_7,soe_battery_2_7,elec_prod_fuelcell_1_7,elec_prod_fuelcell_2_7,soe_h2_storage_7,dir_h2_demand_7,chg_h2_storage_hourly_7,dchg_h2_storage_hourly_7,import_elec_7,unmet_elec_7,chg_pwr_battery_8,prod_wind_8,prod_solar_8,elec_input_elec_8,h2_prod_elec_1_8,h2_prod_elec_2_8,h2_prod_elec_3_8,soe_battery_1_8,soe_battery_2_8,elec_prod_fuelcell_1_8,elec_prod_fuelcell_2_8,soe_h2_storage_8,dir_h2_demand_8,chg_h2_storage_hourly_8,dchg_h2_storage_hourly_8,import_elec_8,unmet_elec_8,chg_pwr_battery_9,prod_wind_9,prod_solar_9,elec_input_elec_9,h2_prod_elec_1_9,h2_prod_elec_2_9,h2_prod_elec_3_9,soe_battery_1_9,soe_battery_2_9,elec_prod_fuelcell_1_9,elec_prod_fuelcell_2_9,soe_h2_storage_9,dir_h2_demand_9,chg_h2_storage_hourly_9,dchg_h2_storage_hourly_9,import_elec_9,unmet_elec_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.466126027,0.0,0.0,0.0,6802.454931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.734062466,0.0,0.0,0.0,6420.364921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.128009862,0.0,0.0,0.0,6390.835716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.733163835999999,0.0,0.0,0.0,6251.243113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33041096,0.0,0.0,0.0,6045.433506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115538631,0.0,0.0,0.0,5932.685634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.938179179000002,0.0,0.0,0.0,5858.415211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.047769859,0.0,0.0,0.0,5670.502091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.024735894,0.0,0.0,0.0,5441.42705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.545288776,0.0,0.0,0.0,5468.271781
